,Avg lbs & bf%,Var,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,
WC 24/08,183.4,-0.1,183.4,,,,,,,140.5,
Week 4,23.4,0.7,23.4,,,,,,,83.2,Kgs
WC 17/08,183.5,-1.3,183.2,184.8,184.8,184.6,183.4,182.6,181.4,141.8,
Week 3,22.7,0.8,21.4,20.7,23.7,23.6,23.4,23.3,23,83.2,Kgs
WC 10/08,184.8,-0.4,185.8,185.4,185,185.2,184.4,184.6,183.2,144.3,
Week 2,21.9,0.1,24,21.9,21.7,21.7,22.1,21.8,20.3,83.8,Kgs
WC 03/08,185.2,-1.5,185.8,186,185.8,184.8,184.8,183.8,185.6,144.8,
Week 1,21.8,-2.1,,21.3,21.4,21.4,,21.1,23.9,84.0,Kgs
WC 27/07,186.8,-0.2,186.4,187.2,186.8,187.2,187.4,186,186.4,142.2,
Deload,23.9,1.0,24.1,24.2,24.1,23,,24,,84.7,Kgs
WC 20/07,187.0,-0.2,186.4,186.8,187,187.2,186.2,188,187.4,144.2,
,22.9,0.6,,24.1,22.1,21.2,23.9,24.4,21.7,84.8,Kgs
WC 13/07,187.2,-0.2,187.6,188.6,187.8,188.2,187.2,184.8,186.2,145.5,
Week 6,22.3,0.6,24.4,22,21.4,22,21.5,20.6,23.9,84.9,Kgs
WC 06/07,187.4,-0.7,187.4,187.6,187,187.6,187.2,187.4,187.6,146.8,
Week 5,21.7,-0.1,21.8,21.5,21.3,20.9,20.7,21.1,24.4,85.0,Kgs
WC 29/06,188.1,-1.6,189,188.8,188,187.8,188.2,188.2,186.8,147.2,
Week 4,21.7,0.1,23.2,22.4,21.7,21.3,21.5,21,21.1,85.3,Kgs
WC 22/06,189.7,-0.2,190.2,190.6,189.2,190,189.2,189,189.8,148.6,
Week 3,21.7,-0.9,22.3,22.3,21.2,21.5,21.4,21.4,21.6,86.0,Kgs
WC 15/06,189.9,-1.4,189.4,190.6,190.4,189.8,190.6,189,189.4,147.0,
Week 2,22.6,-0.5,24.8,23,22,21.6,22.7,21.2,22.7,86.1,Kgs
WC 08/06,191.3,-0.3,192.2,191.4,191.8,192.4,191.4,190.6,189.4,147.1,
Week 1,23.1,0.3,25.3,23.9,23,22.6,22.4,21.8,22.8,86.8,Kgs
WC 01/06,191.6,-0.3,192.4,191.8,190.6,192,192.4,191.4,190.6,147.9,
,22.8,0.7,22.2,22.3,22,25.3,23.1,22.6,22.1,86.9,Kgs
WC 25/05,191.9,-0.9,192.4,191.8,191.8,192.4,192.2,191.4,191.6,149.4,
,22.1,-0.7,22.8,22.5,22,22.4,22,21.7,21.6,87.0,Kgs
WC 18/05,192.9,-1.1,193,192.8,193,193.2,193,192.6,192.4,148.8,
,22.8,-1.3,25.5,23.2,22,23,22.4,21.7,22,87.5,Kgs
WC 11/05,193.9,-0.9,194.8,193.6,194.2,195,195,192.6,192.4,147.1,
,24.2,0.8,24.7,25.6,23,25.8,24.4,22.9,22.8,88.0,Kgs
WC 04/05,194.9,-1.6,195.4,195.6,195.6,195.6,195.2,192.4,194.2,149.3,
,23.4,-1.7,22.8,23,23.3,26,23.7,22.3,22.5,88.4,Kgs
WC 27/04,196.4,0.1,196.2,197.2,196.4,196.2,196,196.2,196.8,147.2,
,25.1,-0.1,26.1,24.4,26.3,23.3,26.1,26.1,23.2,89.1,Kgs
WC 20/04,196.3,0.0,195.8,196.2,196.6,196.4,197,196,196.2,146.9,
Start cut,25.2,0.7,26.1,26.1,26.3,24.5,24,26.1,23,89.0,Kgs
WC 13/04,196.3,-0.8,197.4,196,195.8,195.8,196.8,196.8,195.6,148.4,
,24.4,0.5,26.4,24.1,24.7,24,23.7,23.6,24.5,,
WC 06/04,197.1,1.1,197,197.2,197.4,197.2,197.6,196,197.4,150.0,
,23.9,-0.9,,23.2,24.2,22.8,24.7,24.5,24,,
WC 30/03,196.0,-0.1,194.6,196.4,196.6,196.2,196.6,196.2,195.6,147.4,
,24.8,-0.2,25.9,26.3,26.1,22.8,23.6,26.1,23,,
WC 23/03,196.1,-1.7,195.8,196.2,195.6,196.2,196.2,196.4,196.2,147.0,
,25.0,-0.3,26,23.7,26,26.1,26.1,23.6,23.7,,
WC 16/03,197.8,2.2,198.4,198,197.4,198.8,198.2,198,196,147.7,
,25.3,-0.7,26.6,25.3,26.4,24.2,23.6,26.6,24.7,,
